Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
Просьба открыть заявку по неисправному диску на dd203 - Enclosure=5:Disk=31,"Добрый день!
Просьба открыть заявку по неисправному диску на dd203 - Enclosure=5:Disk=31
Спасибо.
@dd203-p1(active:1)# alerts show current
Id       Post Time                  Severity   Class               Object                    Message
------   ------------------------   --------   -----------------   -----------------------   ------------------------------------------------------------------------
p1-222   Fri Feb 25 14:11:09 2022   ERROR      SystemMaintenance   ESRSGateway=10.64.0.246   EVT-SMTOOL-00003: Error communicating with ESRS gateway: 10.64.0.246.
p1-228   Thu Apr 11 11:28:52 2024   ERROR      SystemMaintenance                             EVT-SMTOOL-00001: Error communicating with mail server.
m0-43    Sun Jul  7 01:44:08 2024   CRITICAL   HardwareFailure     Enclosure=5:Disk=31       EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
------   ------------------------   --------   -----------------   -----------------------   ------------------------------------------------------------------------
There are 3 active alerts.
@dd203-p1(active:1)# system show serial
Serial number: CKM00193901783
@dd203-p1(active:1)# system show model
Model number: DD9800
@dd203-p1(active:1)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9800      NVT10192800018   Online                          4 Slots
2           DS60        FCNCD191500266   Online                          60 Slots
3           DS60        FCNCD191700424   Online                          60 Slots
4           DS60        FCNCD191700423   Online                          60 Slots
5           DS60        FCNCD191700259   Online                          60 Slots
6           ES30        CKM00194101710   Online                          15 Slots
7           DS60        FCNCD191500221   Online                          60 Slots
8           DS60        FCNCD191700171   Online                          60 Slots
---------   ---------   --------------   ------   --------   ---------   --------
8 enclosures present.
@dd203-p1(active:1)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15
--------------   ----------------------------------------------
1                 .  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |.  .  . |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  s |.  .  . |
     B(13-24)    |.  .  . |s  .  . |s  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |s  .  s |.  .  . |.  .  . |s  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  s |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  s  s |.  .  . |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |s  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  . |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |s  .  . |
     C(25-36)    |.  .  . |.  .  . |F  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  s  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
7                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |.  .  s |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  s |
                 |--------|--------|--------|--------|
8                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
--------------   ----------------------------------------------
Legend   State                 Count
------   -------------------   -----
.        In Use Disks          313
s        Spare Disks           20
F        Failed Disks          1
-        Not Installed Disks   45
------   -------------------   -----
Total 334 disks
@dd203-p1(active:1)# disk show hardware
Disk         Slot   Manufacturer/Model                         Firmware   Serial No.                 Capacity    Type
(enc/disk)
----------   ----   ----------------------------------------   --------   ------------------------   ---------   --------
1.1          0      M500DC400-MTFDBAK400MBB________118000078   0154       1711164A5D4B               372.6 GiB   SATA-SSD
1.2          1      M500DC400-MTFDBAK400MBB________118000078   0154      
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",СХД,Диск,CKM00193901783
СИЛА НК2-1404// Замена ЗУ на ноутбуках Сила HK2-1404 (в кол-ве 5 шт.),"Вышли из строя ЗУ от ноутбуков СИЛА НК2-1404, в кол-ве 6шт. Прошу принять заявку на гарантийную замену ЗУ от ноутбуков Сила:
Серийный номера:
C223012998
C223101389 
C223102298  
C223100876 
C223100050",Ноутбук,Блок питания,"C223012998, C223101389, C223102298, C223100876, C223100050"
ремонт ноутбука СИЛА НК2-1404,не работает порт usd и порт type-c на ноутбуке СИЛА НК2-1404,Ноутбук,Материнская плата,C223100081
"Аварийная перезагрузка сервера,  UMA operation error","Аварийно перезагрузился сервер, в логе BMC появилось совпадающее по времени событие:
20	 Critical	2024-05-31 17:38:27 (UTC+3)
Intel ME has encountered UMA operation error. Details: UMA Read/Write timeout. Timeout occurred during copying data from/to UMA.

Просьба продиагностировать, возможно ли использовать данный сервер в продуктивном контуре",Сервер,Материнская плата,d252090013
Неисправность сервера СИЛА // 46917,"Коллеги, добрый день. 
 Просьба принять запрос. 
 Модель: сервер CP2 – 5422
S/N : D252030019 
 Расположение: КВ7 
Описание: Неисправность модуля управления сервером. 
 Скриншоты с проблемой во вложении.",Сервер,Сервер,D252030019
"Свежая версия BMC Cube, шаблон для Zabbix","Добрый день!
Есть свежая версия BMC Cube для серверов СИЛА CP2-6327?
У нас установлена CUBE_63_PLATFORM_1264_2.
Поддержка мониторинга физических дисков по SNMP еще не добавлена?
Шаблон для Zabbix не появился? У нас есть только ""Template Server Gooxi IPMI""",Сервер,Консультация,D263120004
СИЛА НК2-1404 v2 // Неисправность ноутбука //  С223011138,"Прошу принять в гарантийный ремонт ноутбук ""СИЛА НК2-1404"" s/n: С223011138.
Заявленная неисправность: в процессе работы регулярно появляется ""синий экран"", и ноутбук сам уходит в перезагрузку. Переустановка ОС на ноутбуке проблему не устранило",Ноутбук,Диск,C223011138
Ноутбук HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА,"Добрый день. 
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо",Ноутбук,Блок питания,C223012702
СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА,"Добрый день!
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо",Ноутбук,Блок питания,"C223011355, C223012685, C223011958"
мерцает экран ноутбука,мерцает экран ноутбука,Ноутбук,Матрица,C223091623
глитч матрицы,"После установки windows, матрица начала давать сбой, появление черных полос на экране хаотичное выключение 
экрана, 
после обновления драйверов, проблема не ушла, драйвера скачивали на оф сайте Сила",Ноутбук,Матрица,C223093014
Гарантийный ремонт 2-х ноутбуков СИЛА,"Добрый день! 
 Выявили дефекты изображения на матрице 2-х приобретённых у вас ноутбуках СИЛА НК2-3404. 
 Серийные номера: 
 1)    С223090320 
 2)    С223091504 
 Прошу организовать работы по гарантийному ремонту.",Ноутбук,Матрица,С223090320
Неисправность ноутбука Сила,"Добрый день!
Ноутбук СИЛА НК2-3404 - NTB48553 (S/N: C223090502)
Описание неисправности – вышла из строя матрица. В нижней части экрана полосы и мерцание. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная",Ноутбук,Матрица,C223090502
НК2-1404 // Не работает Wi-FI (Кашира),На устройстве не работает WiFi,Ноутбук,Wi-fi антенна,C223101179
Неприемлемо долгий запуск сервера CP2-5422,"Полный запуск сервера (от нажатия кнопки питания до запуска ОС) выполняется неприемлемо долго - 30 мин.
При этом время между запуском сервера (нажатием кнопки питания) и появлением текстовой информации о настройке RAID-контроллера составляет примерно 2.5 минуты.
Такое поведение у серверов D254020003 и D254020002.
Сервер D254020004 запускается в разы быстрее - за 3.5 минуты.
Аппаратная конфигурация серверов D254020003 и D254020002 абсолютно одинаковая.
Сервер D254020004 отличается от предыдущих серверов наличием RAID-6 из 6 SSD (на первых двух серверах нет RAID'а, только по 1 SSD, при этом RAID-контроллер есть у всех серверов).
Программная конфигурация у всех трех серверов одинаковая:
- Версия BIOS'а: SILA 015 rev 8.3;
- Версия BMC: 1264_4;
- ОС: AstraLinux SE 1.7.5.16, ядро 6.1.50-generi.
Журнал POST-кодов и журнал событий за этап загрузки проблемного сервера во вложении",Сервер,Программное обеспечение,D254020003
СИЛА HK2-1404// Не работает зарядное устройство,Перестало работать зарядное устройство. С другим работает корректно,Ноутбук,Блок питания,C223100876
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/В3Y/С111110066/инв. № 525467,Не рабочий первый  Tipe-C,Ноутбук,Блок питания,С111110066
Ноутбук СИЛА HK1-1425/i5-1135G7/8G/m.2 256G/B3Y/С111080030/инв. №367120,"Не работает HDMI

Ноутбук СИЛА HK1-1425/i5-1135G7/8G/m.2 256G/B3Y/С111080030/инв. №367120",Ноутбук,Материнская плата,С111080030
Ноутбук СИЛА HK1-1427/ i5-1135G7/16G/m.2 512Gb/С111120102/инв. № 525600,"При подключение USB наушников, замедляется работа ПК и начинается самопроизвольно меняться раскладка языка на клавиатуре. Обновление драйверов ПК проблема не устранима, с другими наушниками ситуация такая же",Ноутбук,Консультация,С111120102
Неисправность сервера // 46906,"Коллеги, добрый день.
Просьба принять запрос.
Модель: сервер CP2 – 5422
S/N : D252030012 

 Описание: Неисправность системы охлаждения сервера. 
 Приоритет: 3 
 Дополнительная информация во вложении.",Сервер,Сервер,D252030012
Неисправность Ноутбук СИЛА НК2-3404 - NTB48532 S/N,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48532 (S/N: C223090552)
 Описание неисправности – вышла из строя матрица. В верхней части экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Ноутбук,Матрица,C223090552
гарантийный ремонт.Отпала клавиша,"Добрый день! 
 Ноутбук сила HK2-1404, sn C223013450 . 
 Отпала клавиша «8». Фото приложено 
 Прошу взять в гарантийный ремонт.",Ноутбук,Клавиатура,C223013450
Ноутбук НК2-1404 \\  \\ wi-fi,"Не стабильно работает wi-fi, пропадает соединение и в устройствах не отображается, пробовал переустановить драйвера не помогает, после нескольких перезагрузок wi-fi появляется, но через какое то время опять пропадает",Ноутбук,Wi-fi антенна,C223012010
СИЛА HK2-1404 // Краш SSD,"Добрый день, на ноутбуке крашится SSD",Ноутбук,Оперативная память,C223012059
СХД CX4-1127-00 // Неисправный диск,"Добрый день. 
Коллеги, 
Прошу открыть кейс по неисправному диску на dd: dd202.region..ru - Disk 3.49 [SN: ZC1C32DR] Enclosure=3:Disk=49
@dd202-p1(active:0)# alerts show current
Id      Post Time                  Severity   Class               Object                Message
-----   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
p0-86   Fri Apr  5 06:22:28 2024   ERROR      SystemMaintenance                         EVT-SMTOOL-00001: Error communicating with mail server.
m0-53   Fri May 17 07:50:53 2024   CRITICAL   HardwareFailure     Enclosure=3:Disk=49   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
-----   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
There are 2 active alerts.
@dd202-p1(active:0)#
@dd202-p1(active:0)# system show serial
Serial number: CKM00194301861
@dd202-p1(active:0)# system show model
Model number: DD9800
@dd202-p1(active:0)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9800      NVT10193400046   Online                          4 Slots
2           DS60        FCNCD191700342   Online                          60 Slots
3           DS60        FCNCD191700150   Online                          60 Slots
4           DS60        FCNCD191700305   Online                          60 Slots
5           DS60        FCNCD191700419   Online                          60 Slots
6           DS60        FCNCD191500258   Online                          60 Slots
7           DS60        FCNCD191700040   Online                          60 Slots
8           ES30        CKM00194101704   Online                          15 Slots
---------   ---------   --------------   ------   --------   ---------   --------
8 enclosures present.
@dd202-p1(active:0)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15
--------------   ----------------------------------------------
1                 .  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  s  . |.  .  . |.  .  . |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  s |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  s |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |F  .  . |.  .  . |.  .  R |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |s  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |s  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |s  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |s  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |.  .  . |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |s  .  . |.  s  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  s  . |.  .  . |
                 |--------|--------|--------|--------|
6                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  . |.  .  s |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  s  . |.  s  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
7                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |s  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
8                 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
--------------   ----------------------------------------------

Legend   State                          Count
------   ----------------------------   -----
.        In Use Disks                   312
s        Spare Disks                    20
R        Spare (reconstructing) Disks   1
F        Failed Disks                   1
-        Not Installed Disks            45
------   ----------------------------   -----
Total 334 disks

Disk    Disks            Progress   Remaining
Group   Reconstructing   (%)        (minutes)
-----   --------------   --------   ---------
dg10    3.57             38         407
-----   --------------   --------",СХД,Диск,CKM00194301861
Сервер СР2-5422 // Ошибки на System Fan 2,Появились ошибки по датчику System Fan 2,Сервер,Материнская плата,D251110010
Неисправность Ноутбук СИЛА НК2-3404 - NTB48595 (S/N: ),"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48595 (S/N: C223090725)
 Описание неисправности – вышла из строя матрица. В нижней части экрана полосы и мерцание. 
 Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Ноутбук,Матрица,C223090725
Ноутбук Сила не работает порт HDMI,"Добрый день
При подключении внешнего монитора по HDMI не выводится изображение на монитор,  при этом основной экран ноутбука работает нормально. Проблема ""плавающая"", не постоянная, т.е. внешний подключенный монитор может работать несколько часов нормально, но потом пропадает изображения, моргает, может вообще изображение с монитора пропасть, при этом основной экран всегда работает нормально",Ноутбук,Материнская плата,C112050125
СИЛА HK-1404 // Рябит экран,"Добрый день! Рябит экран, видео в описании",Ноутбук,Матрица,C223012603
Мерцает матрица ноутбука,"Здравствуйте! При включении ноутбука Сила HK2-1404 мерцает матрица, полосы появляются",Ноутбук,Матрица,C223013549
заявка на гарантийный ремонт\замену,"Добрый день.
Серийный номер: С223013250
Неисправность: блок питания не подает заряд
Уточните, пожалуйста, как мы можем заменить неработающий блок питания",Ноутбук,Блок питания,C223013250
Ноутбук Сила HK2-3404 (SN: ),"Ноутбук Сила HK2-3404 (SN: C223091736)
Из коробки  индикация не реагирует на подключение блока питания.
Не включается.
Проверено несколько БП, оба порта USB type C",Ноутбук,Материнская плата,C223091736
нк2-1404,"Добрый день!
Прошу взять в гарантийный ремонт ноутбук СИЛА нк2-1404 C223013824
Неисправности:
Повреждена матрица ноутбука(видео прикладываю)",Ноутбук,Матрица,C223013824
"Ноутбук СИЛА HK-1404 // проблемы с включением, с usb-портом","Добрый день! 
Проблемное включение и выключение компьютера. Компьютер не всегда включается даже при полной зарядке, но без подключения по проводу. Иногда включается даже с проводом со второго раза. При определенных условиях компьютер не выходит из режима сна, помогает только принудительное выключение, однако ноутбук не всегда реагирует на нажатую кнопку (вместо положенных 4-х секунд на выключение).
Проблема с одним юсб-портом - не подключается любые внешние устройства. Переустановка драйверов, включение/выключение порта через диспетчер устройств, перезагрузка результата не дали",Ноутбук,Материнская плата,C223012662
полосы на матрице НК2-3404,Полосы на матрице.,Ноутбук,Матрица,C223090893
СИЛА НК2-1404 \нет загрузочного  диска\,"Пропал загрузочный диск.
При включении попадает в BIOS",Ноутбук,Диск,C222090950
Ноутбук СИЛА HK1-1425/i5-1135G7/2*8G/m.2 256G/B3Y/ инв. № 525325/ С111080029,"не рабочий HDMI (повторная поломка HDMI, ранее была  Заявка IBS-8588 )",Ноутбук,Материнская плата,С111080029
СИЛА НК2-1404 // не работает LAN порт // С222090774,"Добрый день.
Ноутбук СИЛА, не работает LAN порт
Серийник: С222090774
Просьба сообщить, действует ли гарантия на данный ноутбук. 

Благодарю.",Ноутбук,Wi-fi модуль,С222090774
полосы на экране и отклеились ножки,"Переодически (было 3-4 раза) появляются полосы на экране. Видео во вложении. Специально поймать данную неисправность не удается. 
Также отклеились 2 ножки на корпусе",Ноутбук,Матрица,c223012503
Не загружается ноутбук Сила НК2-3204,"Добрый день!
После изменения в BIOS настроек режима загрузки с UEFI на Legacy ноутбук перестал загружаться. Т.е. при нажатии на кнопку питания, она подсвечивается, начинают работать индикаторы CapsLock и других клавиш, однако экран остается черный. 
Как оживить ноутбук",Ноутбук,Консультация,C233040369
Ноутбук не включается,"Ноутбук не включается, постоянно перезагружается, не всегда выходит из спящего режима",Ноутбук,Вентилятор,C223100275
СИЛА HK2-1404 // Не работает зарядное устройство,Не работает зарядное устройство,Ноутбук,Блок питания,C223011088
Ноутбук СИЛА HK-1404 // Разбит экран,Добрый день! Отключается экран во врем работы,Ноутбук,Материнская плата,C223011480
HK2-1404 // Не работает зарядное устройство,Не работает зарядное устройство,Ноутбук,Блок питания,"C223011313, C223010066, C223101193, C223010034, C223011966"
СИЛА НК2-1404 // Отвалился разъем type c,Отвалился разъем type c  на зарядном устройстве,Ноутбук,Блок питания,C223012413
Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров,"Добрый день!
После обновления bios и bmc появились ошибки связанные с системными кулерами (скриншот и выгрузка логов во вложении).
System_Fan_1 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 .
System_Fan_2 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 .
System_Fan_3 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 .
Сброс логов с последующей перезагрузкой bmc не помогли",Сервер,Материнская плата,D251110015
НК2-1404 // Не работает З.У.,"Перрестало работать зарядное устройство, не заряжает ноутбук.
С другим блоком работает",Ноутбук,Блок питания,C223101538
Сила НК2-1404 / перестало работать зарядное устройство для ноутбука,"Сила НК2-1404 / перестало работать зарядное устройство для ноутбука/ C223100251
прошу заменить по гарантии",Ноутбук,Блок питания,C223100251
Драйвера НК2-3404 на WIn10x64,"Добрый день.
Просьба выложить актуальные драйвера для НК2-3404 на WIn10x64. На сайте присутствуют только драйвера для Win11. + Сделать разбивку для чего какой драйвер идет.
Также просьба обратить внимание на драйвера для звука. Есть проблема, что при подключении внешних звуковых устройств. Проявляется в 2х вариантах:
1) Звук попросту не идет, хотя в диспетчере подключенное оборудование отображается. Подключение устройств через USB. При отключении стороннего устройства - звук через ноутбук идет корректно.
2) Про подключении док-станции иконка звука в правом нижнем углу становится перечеркнутой, как будто звуковых устройств нет совсем. Лечится только принудительной перезагрузкой с кнопки (часто еще и не с первого раза помогает, приходится по 3-4 раза перезагружать)",Ноутбук,Консультация,C223091496
Обновление BIOS и BMC Cube,"Добрый день!
Если были обновления этих компонентов, прошу предоставить для скачивания.
И появился ли у вас какой-то портал с прошивками и инструкциями по оборудованию Сила",Сервер,Консультация,D263080001
Ноутбук СИЛА НК2-3404// рябь экрана // c223091025,"Коллеги, привет!

Столкнулись с проблемой на ноутбуке Сила модель нк2-3404 s/n c223091025
У пользователя начал рябить экран, видео прилагаю
Необходимо организавать гарантийный ремонт ноутбука",Ноутбук,Матрица,C223091025
Полосы и мерцание на мониторе,На ноутбуку СИЛА НК2-3404 появились полосы и мерцание экрана (фото во вложении),Ноутбук,Матрица,C223090716
